realtime_start,value,date,realtime_end
2019-12-06,240459,1986-06-01,2019-12-06
2019-12-06,240651,1986-07-01,2019-12-06
2019-12-06,240854,1986-08-01,2019-12-06
2019-12-06,241068,1986-09-01,2019-12-06
2019-12-06,241274,1986-10-01,2019-12-06
2019-12-06,241467,1986-11-01,2019-12-06
2019-12-06,241620,1986-12-01,2019-12-06
2019-12-06,241784,1987-01-01,2019-12-06
2019-12-06,241930,1987-02-01,2019-12-06
2019-12-06,242079,1987-03-01,2019-12-06
2019-12-06,242252,1987-04-01,2019-12-06
2019-12-06,242423,1987-05-01,2019-12-06
2019-12-06,242608,1987-06-01,2019-12-06
2019-12-06,242804,1987-07-01,2019-12-06
2019-12-06,243012,1987-08-01,2019-12-06
2019-12-06,243223,1987-09-01,2019-12-06
2019-12-06,243446,1987-10-01,2019-12-06
2019-12-06,243639,1987-11-01,2019-12-06
2019-12-06,243809,1987-12-01,2019-12-06
2019-12-06,243981,1988-01-01,2019-12-06
2019-12-06,244131,1988-02-01,2019-12-06
2019-12-06,244279,1988-03-01,2019-12-06
2019-12-06,244445,1988-04-01,2019-12-06
2019-12-06,244610,1988-05-01,2019-12-06
2019-12-06,244806,1988-06-01,2019-12-06
2019-12-06,245021,1988-07-01,2019-12-06
2019-12-06,245240,1988-08-01,2019-12-06
2019-12-06,245464,1988-09-01,2019-12-06
2019-12-06,245693,1988-10-01,2019-12-06
2019-12-06,245884,1988-11-01,2019-12-06
2019-12-06,246056,1988-12-01,2019-12-06
2019-12-06,246224,1989-01-01,2019-12-06
2019-12-06,246378,1989-02-01,2019-12-06
2019-12-06,246530,1989-03-01,2019-12-06
2019-12-06,246721,1989-04-01,2019-12-06
2019-12-06,246906,1989-05-01,2019-12-06
2019-12-06,247114,1989-06-01,2019-12-06
2019-12-06,247342,1989-07-01,2019-12-06
2019-12-06,247573,1989-08-01,2019-12-06
2019-12-06,247816,1989-09-01,2019-12-06
2019-12-06,248067,1989-10-01,2019-12-06
2019-12-06,248281,1989-11-01,2019-12-06
2019-12-06,248479,1989-12-01,2019-12-06
2019-12-06,248659,1990-01-01,2019-12-06
2019-12-06,248827,1990-02-01,2019-12-06
2019-12-06,249012,1990-03-01,2019-12-06
2019-12-06,249306,1990-04-01,2019-12-06
2019-12-06,249565,1990-05-01,2019-12-06
2019-12-06,249849,1990-06-01,2019-12-06
2019-12-06,250132,1990-07-01,2019-12-06
2019-12-06,250439,1990-08-01,2019-12-06
2019-12-06,250751,1990-09-01,2019-12-06
2019-12-06,251057,1990-10-01,2019-12-06
2019-12-06,251346,1990-11-01,2019-12-06
2019-12-06,251626,1990-12-01,2019-12-06
2019-12-06,251889,1991-01-01,2019-12-06
2019-12-06,252135,1991-02-01,2019-12-06
2019-12-06,252372,1991-03-01,2019-12-06
2019-12-06,252643,1991-04-01,2019-12-06
2019-12-06,252913,1991-05-01,2019-12-06
2019-12-06,253207,1991-06-01,2019-12-06
2019-12-06,253493,1991-07-01,2019-12-06
2019-12-06,253807,1991-08-01,2019-12-06
2019-12-06,254126,1991-09-01,2019-12-06
2019-12-06,254435,1991-10-01,2019-12-06
2019-12-06,254718,1991-11-01,2019-12-06
2019-12-06,254964,1991-12-01,2019-12-06
2019-12-06,255214,1992-01-01,2019-12-06
2019-12-06,255448,1992-02-01,2019-12-06
2019-12-06,255703,1992-03-01,2019-12-06
2019-12-06,255992,1992-04-01,2019-12-06
2019-12-06,256285,1992-05-01,2019-12-06
2019-12-06,256589,1992-06-01,2019-12-06
2019-12-06,256894,1992-07-01,2019-12-06
2019-12-06,257232,1992-08-01,2019-12-06
2019-12-06,257548,1992-09-01,2019-12-06
2019-12-06,257861,1992-10-01,2019-12-06
2019-12-06,258147,1992-11-01,2019-12-06
2019-12-06,258413,1992-12-01,2019-12-06
2019-12-06,258679,1993-01-01,2019-12-06
2019-12-06,258919,1993-02-01,2019-12-06
2019-12-06,259152,1993-03-01,2019-12-06
2019-12-06,259414,1993-04-01,2019-12-06
2019-12-06,259680,1993-05-01,2019-12-06
2019-12-06,259963,1993-06-01,2019-12-06
2019-12-06,260255,1993-07-01,2019-12-06
2019-12-06,260566,1993-08-01,2019-12-06
2019-12-06,260867,1993-09-01,2019-12-06
2019-12-06,261163,1993-10-01,2019-12-06
2019-12-06,261425,1993-11-01,2019-12-06
2019-12-06,261674,1993-12-01,2019-12-06
2019-12-06,261919,1994-01-01,2019-12-06
2019-12-06,262123,1994-02-01,2019-12-06
2019-12-06,262352,1994-03-01,2019-12-06
2019-12-06,262631,1994-04-01,2019-12-06
2019-12-06,262877,1994-05-01,2019-12-06
2019-12-06,263152,1994-06-01,2019-12-06
2019-12-06,263436,1994-07-01,2019-12-06
2019-12-06,263724,1994-08-01,2019-12-06
2019-12-06,264017,1994-09-01,2019-12-06
2019-12-06,264301,1994-10-01,2019-12-06
2019-12-06,264559,1994-11-01,2019-12-06
2019-12-06,264804,1994-12-01,2019-12-06
2019-12-06,265044,1995-01-01,2019-12-06
2019-12-06,265270,1995-02-01,2019-12-06
2019-12-06,265495,1995-03-01,2019-12-06
2019-12-06,265755,1995-04-01,2019-12-06
2019-12-06,265998,1995-05-01,2019-12-06
2019-12-06,266270,1995-06-01,2019-12-06
2019-12-06,266557,1995-07-01,2019-12-06
2019-12-06,266843,1995-08-01,2019-12-06
2019-12-06,267152,1995-09-01,2019-12-06
2019-12-06,267456,1995-10-01,2019-12-06
2019-12-06,267715,1995-11-01,2019-12-06
2019-12-06,267943,1995-12-01,2019-12-06
2019-12-06,268151,1996-01-01,2019-12-06
2019-12-06,268364,1996-02-01,2019-12-06
2019-12-06,268595,1996-03-01,2019-12-06
2019-12-06,268853,1996-04-01,2019-12-06
2019-12-06,269108,1996-05-01,2019-12-06
2019-12-06,269386,1996-06-01,2019-12-06
2019-12-06,269667,1996-07-01,2019-12-06
2019-12-06,269976,1996-08-01,2019-12-06
2019-12-06,270284,1996-09-01,2019-12-06
2019-12-06,270581,1996-10-01,2019-12-06
2019-12-06,270878,1996-11-01,2019-12-06
2019-12-06,271125,1996-12-01,2019-12-06
2019-12-06,271360,1997-01-01,2019-12-06
2019-12-06,271585,1997-02-01,2019-12-06
2019-12-06,271821,1997-03-01,2019-12-06
2019-12-06,272083,1997-04-01,2019-12-06
2019-12-06,272342,1997-05-01,2019-12-06
2019-12-06,272622,1997-06-01,2019-12-06
2019-12-06,272912,1997-07-01,2019-12-06
2019-12-06,273237,1997-08-01,2019-12-06
2019-12-06,273553,1997-09-01,2019-12-06
2019-12-06,273852,1997-10-01,2019-12-06
2019-12-06,274126,1997-11-01,2019-12-06
2019-12-06,274372,1997-12-01,2019-12-06
2019-12-06,274626,1998-01-01,2019-12-06
2019-12-06,274838,1998-02-01,2019-12-06
2019-12-06,275047,1998-03-01,2019-12-06
2019-12-06,275304,1998-04-01,2019-12-06
2019-12-06,275564,1998-05-01,2019-12-06
2019-12-06,275836,1998-06-01,2019-12-06
2019-12-06,276115,1998-07-01,2019-12-06
2019-12-06,276418,1998-08-01,2019-12-06
2019-12-06,276714,1998-09-01,2019-12-06
2019-12-06,277003,1998-10-01,2019-12-06
2019-12-06,277277,1998-11-01,2019-12-06
2019-12-06,277526,1998-12-01,2019-12-06
2019-12-06,277790,1999-01-01,2019-12-06
2019-12-06,277992,1999-02-01,2019-12-06
2019-12-06,278198,1999-03-01,2019-12-06
2019-12-06,278451,1999-04-01,2019-12-06
2019-12-06,278717,1999-05-01,2019-12-06
2019-12-06,279001,1999-06-01,2019-12-06
2019-12-06,279295,1999-07-01,2019-12-06
2019-12-06,279602,1999-08-01,2019-12-06
2019-12-06,279903,1999-09-01,2019-12-06
2019-12-06,280203,1999-10-01,2019-12-06
2019-12-06,280471,1999-11-01,2019-12-06
2019-12-06,280716,1999-12-01,2019-12-06
2019-12-06,280976,2000-01-01,2019-12-06
2019-12-06,281190,2000-02-01,2019-12-06
2019-12-06,281409,2000-03-01,2019-12-06
2019-12-06,281653,2000-04-01,2019-12-06
2019-12-06,281877,2000-05-01,2019-12-06
2019-12-06,282126,2000-06-01,2019-12-06
2019-12-06,282385,2000-07-01,2019-12-06
2019-12-06,282653,2000-08-01,2019-12-06
2019-12-06,282932,2000-09-01,2019-12-06
2019-12-06,283201,2000-10-01,2019-12-06
2019-12-06,283453,2000-11-01,2019-12-06
2019-12-06,283696,2000-12-01,2019-12-06
2019-12-06,283920,2001-01-01,2019-12-06
2019-12-06,284137,2001-02-01,2019-12-06
2019-12-06,284350,2001-03-01,2019-12-06
2019-12-06,284581,2001-04-01,2019-12-06
2019-12-06,284810,2001-05-01,2019-12-06
2019-12-06,285062,2001-06-01,2019-12-06
2019-12-06,285309,2001-07-01,2019-12-06
2019-12-06,285570,2001-08-01,2019-12-06
2019-12-06,285843,2001-09-01,2019-12-06
2019-12-06,286098,2001-10-01,2019-12-06
2019-12-06,286341,2001-11-01,2019-12-06
2019-12-06,286570,2001-12-01,2019-12-06
2019-12-06,286788,2002-01-01,2019-12-06
2019-12-06,286994,2002-02-01,2019-12-06
2019-12-06,287190,2002-03-01,2019-12-06
2019-12-06,287397,2002-04-01,2019-12-06
2019-12-06,287623,2002-05-01,2019-12-06
2019-12-06,287864,2002-06-01,2019-12-06
2019-12-06,288105,2002-07-01,2019-12-06
2019-12-06,288360,2002-08-01,2019-12-06
2019-12-06,288618,2002-09-01,2019-12-06
2019-12-06,288870,2002-10-01,2019-12-06
2019-12-06,289106,2002-11-01,2019-12-06
2019-12-06,289313,2002-12-01,2019-12-06
2019-12-06,289518,2003-01-01,2019-12-06
2019-12-06,289714,2003-02-01,2019-12-06
2019-12-06,289911,2003-03-01,2019-12-06
2019-12-06,290125,2003-04-01,2019-12-06
2019-12-06,290346,2003-05-01,2019-12-06
2019-12-06,290584,2003-06-01,2019-12-06
2019-12-06,290820,2003-07-01,2019-12-06
2019-12-06,291072,2003-08-01,2019-12-06
2019-12-06,291321,2003-09-01,2019-12-06
2019-12-06,291574,2003-10-01,2019-12-06
2019-12-06,291807,2003-11-01,2019-12-06
2019-12-06,292008,2003-12-01,2019-12-06
2019-12-06,292192,2004-01-01,2019-12-06
2019-12-06,292368,2004-02-01,2019-12-06
2019-12-06,292561,2004-03-01,2019-12-06
2019-12-06,292779,2004-04-01,2019-12-06
2019-12-06,292997,2004-05-01,2019-12-06
2019-12-06,293223,2004-06-01,2019-12-06
2019-12-06,293463,2004-07-01,2019-12-06
2019-12-06,293719,2004-08-01,2019-12-06
2019-12-06,293971,2004-09-01,2019-12-06
2019-12-06,294230,2004-10-01,2019-12-06
2019-12-06,294466,2004-11-01,2019-12-06
2019-12-06,294694,2004-12-01,2019-12-06
2019-12-06,294914,2005-01-01,2019-12-06
2019-12-06,295105,2005-02-01,2019-12-06
2019-12-06,295287,2005-03-01,2019-12-06
2019-12-06,295490,2005-04-01,2019-12-06
2019-12-06,295704,2005-05-01,2019-12-06
2019-12-06,295936,2005-06-01,2019-12-06
2019-12-06,296186,2005-07-01,2019-12-06
2019-12-06,296440,2005-08-01,2019-12-06
2019-12-06,296707,2005-09-01,2019-12-06
2019-12-06,296972,2005-10-01,2019-12-06
2019-12-06,297207,2005-11-01,2019-12-06
2019-12-06,297431,2005-12-01,2019-12-06
2019-12-06,297647,2006-01-01,2019-12-06
2019-12-06,297854,2006-02-01,2019-12-06
2019-12-06,298060,2006-03-01,2019-12-06
2019-12-06,298281,2006-04-01,2019-12-06
2019-12-06,298496,2006-05-01,2019-12-06
2019-12-06,298739,2006-06-01,2019-12-06
2019-12-06,298996,2006-07-01,2019-12-06
2019-12-06,299263,2006-08-01,2019-12-06
2019-12-06,299554,2006-09-01,2019-12-06
2019-12-06,299835,2006-10-01,2019-12-06
2019-12-06,300094,2006-11-01,2019-12-06
2019-12-06,300340,2006-12-01,2019-12-06
2019-12-06,300574,2007-01-01,2019-12-06
2019-12-06,300802,2007-02-01,2019-12-06
2019-12-06,301021,2007-03-01,2019-12-06
2019-12-06,301254,2007-04-01,2019-12-06
2019-12-06,301483,2007-05-01,2019-12-06
2019-12-06,301739,2007-06-01,2019-12-06
2019-12-06,302004,2007-07-01,2019-12-06
2019-12-06,302267,2007-08-01,2019-12-06
2019-12-06,302546,2007-09-01,2019-12-06
2019-12-06,302807,2007-10-01,2019-12-06
2019-12-06,303054,2007-11-01,2019-12-06
2019-12-06,303287,2007-12-01,2019-12-06
2019-12-06,303506,2008-01-01,2019-12-06
2019-12-06,303711,2008-02-01,2019-12-06
2019-12-06,303907,2008-03-01,2019-12-06
2019-12-06,304117,2008-04-01,2019-12-06
2019-12-06,304323,2008-05-01,2019-12-06
2019-12-06,304556,2008-06-01,2019-12-06
2019-12-06,304798,2008-07-01,2019-12-06
2019-12-06,305045,2008-08-01,2019-12-06
2019-12-06,305309,2008-09-01,2019-12-06
2019-12-06,305554,2008-10-01,2019-12-06
2019-12-06,305786,2008-11-01,2019-12-06
2019-12-06,306004,2008-12-01,2019-12-06
2019-12-06,306208,2009-01-01,2019-12-06
2019-12-06,306402,2009-02-01,2019-12-06
2019-12-06,306588,2009-03-01,2019-12-06
2019-12-06,306787,2009-04-01,2019-12-06
2019-12-06,306984,2009-05-01,2019-12-06
2019-12-06,307206,2009-06-01,2019-12-06
2019-12-06,307439,2009-07-01,2019-12-06
2019-12-06,307685,2009-08-01,2019-12-06
2019-12-06,307946,2009-09-01,2019-12-06
2019-12-06,308189,2009-10-01,2019-12-06
2019-12-06,308418,2009-11-01,2019-12-06
2019-12-06,308633,2009-12-01,2019-12-06
2019-12-06,308833,2010-01-01,2019-12-06
2019-12-06,309027,2010-02-01,2019-12-06
2019-12-06,309212,2010-03-01,2019-12-06
2019-12-06,309191.211,2010-04-01,2019-12-06
2019-12-06,309369.053,2010-05-01,2019-12-06
2019-12-06,309548.502,2010-06-01,2019-12-06
2019-12-06,309745.698,2010-07-01,2019-12-06
2019-12-06,309957.775,2010-08-01,2019-12-06
2019-12-06,310176.466,2010-09-01,2019-12-06
2019-12-06,310399.958,2010-10-01,2019-12-06
2019-12-06,310595.764,2010-11-01,2019-12-06
2019-12-06,310781.705,2010-12-01,2019-12-06
2019-12-06,310960.74,2011-01-01,2019-12-06
2019-12-06,311113.376,2011-02-01,2019-12-06
2019-12-06,311265.404,2011-03-01,2019-12-06
2019-12-06,311436.238,2011-04-01,2019-12-06
2019-12-06,311607.08,2011-05-01,2019-12-06
2019-12-06,311791.223,2011-06-01,2019-12-06
2019-12-06,311997.049,2011-07-01,2019-12-06
2019-12-06,312205.367,2011-08-01,2019-12-06
2019-12-06,312429.118,2011-09-01,2019-12-06
2019-12-06,312644.159,2011-10-01,2019-12-06
2019-12-06,312829.523,2011-11-01,2019-12-06
2019-12-06,313009.712,2011-12-01,2019-12-06
2019-12-06,313183.179,2012-01-01,2019-12-06
2019-12-06,313338.977,2012-02-01,2019-12-06
2019-12-06,313499.369,2012-03-01,2019-12-06
2019-12-06,313667.127,2012-04-01,2019-12-06
2019-12-06,313830.53,2012-05-01,2019-12-06
2019-12-06,314017.594,2012-06-01,2019-12-06
2019-12-06,314210.786,2012-07-01,2019-12-06
2019-12-06,314422.341,2012-08-01,2019-12-06
2019-12-06,314646.749,2012-09-01,2019-12-06
2019-12-06,314853.978,2012-10-01,2019-12-06
2019-12-06,315053.863,2012-11-01,2019-12-06
2019-12-06,315232.752,2012-12-01,2019-12-06
2019-12-06,315389.595,2013-01-01,2019-12-06
2019-12-06,315520.143,2013-02-01,2019-12-06
2019-12-06,315662.224,2013-03-01,2019-12-06
2019-12-06,315817.855,2013-04-01,2019-12-06
2019-12-06,315983.654,2013-05-01,2019-12-06
2019-12-06,316171.042,2013-06-01,2019-12-06
2019-12-06,316358.778,2013-07-01,2019-12-06
2019-12-06,316580.327,2013-08-01,2019-12-06
2019-12-06,316806.125,2013-09-01,2019-12-06
2019-12-06,317022.27,2013-10-01,2019-12-06
2019-12-06,317228.026,2013-11-01,2019-12-06
2019-12-06,317411.551,2013-12-01,2019-12-06
2019-12-06,317593.923,2014-01-01,2019-12-06
2019-12-06,317753.883,2014-02-01,2019-12-06
2019-12-06,317917.203,2014-03-01,2019-12-06
2019-12-06,318089.218,2014-04-01,2019-12-06
2019-12-06,318269.505,2014-05-01,2019-12-06
2019-12-06,318464.152,2014-06-01,2019-12-06
2019-12-06,318662.368,2014-07-01,2019-12-06
2019-12-06,318893.786,2014-08-01,2019-12-06
2019-12-06,319125.296,2014-09-01,2019-12-06
2019-12-06,319353.734,2014-10-01,2019-12-06
2019-12-06,319564.209,2014-11-01,2019-12-06
2019-12-06,319746.157,2014-12-01,2019-12-06
2019-12-06,319928.646,2015-01-01,2019-12-06
2019-12-06,320074.511,2015-02-01,2019-12-06
2019-12-06,320230.786,2015-03-01,2019-12-06
2019-12-06,320402.295,2015-04-01,2019-12-06
2019-12-06,320583.972,2015-05-01,2019-12-06
2019-12-06,320773.558,2015-06-01,2019-12-06
2019-12-06,320978.213,2015-07-01,2019-12-06
2019-12-06,321202.45,2015-08-01,2019-12-06
2019-12-06,321427.611,2015-09-01,2019-12-06
2019-12-06,321653.019,2015-10-01,2019-12-06
2019-12-06,321856.265,2015-11-01,2019-12-06
2019-12-06,322043.071,2015-12-01,2019-12-06
2019-12-06,322232.862,2016-01-01,2019-12-06
2019-12-06,322398.098,2016-02-01,2019-12-06
2019-12-06,322551.468,2016-03-01,2019-12-06
2019-12-06,322721.212,2016-04-01,2019-12-06
2019-12-06,322899.995,2016-05-01,2019-12-06
2019-12-06,323088.466,2016-06-01,2019-12-06
2019-12-06,323291.042,2016-07-01,2019-12-06
2019-12-06,323501.361,2016-08-01,2019-12-06
2019-12-06,323709.851,2016-09-01,2019-12-06
2019-12-06,323919.726,2016-10-01,2019-12-06
2019-12-06,324106.527,2016-11-01,2019-12-06
2019-12-06,324274.912,2016-12-01,2019-12-06
2019-12-06,324438.195,2017-01-01,2019-12-06
2019-12-06,324581.497,2017-02-01,2019-12-06
2019-12-06,324713.97,2017-03-01,2019-12-06
2019-12-06,324861.757,2017-04-01,2019-12-06
2019-12-06,325019.199,2017-05-01,2019-12-06
2019-12-06,325186.237,2017-06-01,2019-12-06
2019-12-06,325367.612,2017-07-01,2019-12-06
2019-12-06,325567.716,2017-08-01,2019-12-06
2019-12-06,325766.019,2017-09-01,2019-12-06
2019-12-06,325965.952,2017-10-01,2019-12-06
2019-12-06,326142.633,2017-11-01,2019-12-06
2019-12-06,326301.399,2017-12-01,2019-12-06
2019-12-06,326454.123,2018-01-01,2019-12-06
2019-12-06,326600.823,2018-02-01,2019-12-06
2019-12-06,326736.69,2018-03-01,2019-12-06
2019-12-06,326887.866,2018-04-01,2019-12-06
2019-12-06,327048.704,2018-05-01,2019-12-06
2019-12-06,327219.14,2018-06-01,2019-12-06
2019-12-06,327403.909,2018-07-01,2019-12-06
2019-12-06,327600.25,2018-08-01,2019-12-06
2019-12-06,327794.788,2018-09-01,2019-12-06
2019-12-06,327990.95,2018-10-01,2019-12-06
2019-12-06,328163.864,2018-11-01,2019-12-06
2019-12-06,328318.861,2018-12-01,2019-12-06
2019-12-06,328467.812,2019-01-01,2019-12-06
2019-12-06,328610.744,2019-02-01,2019-12-06
2019-12-06,328742.843,2019-03-01,2019-12-06
2019-12-06,328890.25,2019-04-01,2019-12-06
2019-12-06,329047.319,2019-05-01,2019-12-06
2019-12-06,329213.989,2019-06-01,2019-12-06
2019-12-06,329394.993,2019-07-01,2019-12-06
2019-12-06,329591.333,2019-08-01,2019-12-06
2019-12-06,329785.872,2019-09-01,2019-12-06
2019-12-06,329982.035,2019-10-01,2019-12-06
2019-12-06,330154.949,2019-11-01,2019-12-06
2019-12-06,330309.946,2019-12-01,2019-12-06
